group,sub1,service
18F Consulting,Acquisition,Agile Acquisition
18F Consulting,Marketplace,Supply Solutions
18F Consulting,Marketplace,Infrastructure
18F Consulting,Acquisition,Solicitation Development
18F Consulting,Acquisition,Contract Administration
18F Consulting,Digital Services,Digital Services
18F Consulting,Digital Services,Digital Economy
18F Consulting,Digital Services,Design
18F Consulting,Digital Services,Product
18F Consulting,Digital Services,Data
18F Consulting,Digital Services,Organization
18F Consulting,Digital Services,Policy
18F Consulting,Digital Services,Technology
18F Consulting,Training,Recruitment
18F Consulting,Training,Organization and Culture
18F Consulting,Training,Professional Development
18F Consulting,Training,Industry and Policy